Gender,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20
Male,Occasionally,Occasionally,Positive,Neutral,Positive,Neutral,Very often,Yes,Positive,Positive,No,Easier,Yes,No,Yes,No,No,Yes,Yes
Female,Very often,Very often,Positive,Positive,Neutral,Positive,Very often,No,Positive,Positive,Yes,Easier,Yes,No,No,No,Yes,Yes
Male,Rarely,Rarely,Neutral,Negative,Positive,Neutral,Rarely,Yes,Neutral,Neutral,No,No,Yes,No,Yes,Yes,No,Yes
Female,Rarely,Rarely,Positive,Positive,Positive,Positive,Rarely,Yes,Positive,Positive,No,No,No,No,No,Yes,No,Yes
Male,Often,Very often,Negative,Negative,Neutral,Positive,Very often,Yes,Positive,Neutral,No,Easier,Yes,Yes,No,No,Yes,No
Female,Occasionally,Occasionally,Neutral,Neutral,Neutral,Positive,Occasionally,Yes,Neutral,Neutral,No,No,Yes,No,No,Yes,No,Yes
Male,Never,Never,Positive,Positive,Positive,Positive,Never,No,Neutral,Neutral,Yes,No,Yes,Yes,No,No,No,Yes
Male,Occasionally,Occasionally,Positive,Neutral,Neutral,Neutral,Very often,No,Positive,Positive,No,No,No,No,No,Yes,Yes,Yes
Male,Rarely,Rarely,Negative,Negative,Positive,Negative,Occasionally,No,Negative,Negative,Yes,Easier,No,No,Yes,Yes,No,Yes
Male,Very often,Very often,Positive,Positive,Positive,Positive,Very often,No,Positive,Positive,No,No,Yes,No,No,Yes,No,Yes
Male,Occasionally,Occasionally,Positive,Neutral,Neutral,Neutral,Rarely,Yes,Neutral,Neutral,No,No,No,No,No,Yes,No,No
Female,Rarely,Occasionally,Neutral,Negative,Positive,Positive,Occasionally,No,Neutral,Neutral,Yes,Easier,No,No,Yes,No,No,Yes
Male,Never,Never,Neutral,Neutral,Neutral,Neutral,Never,Yes,Neutral,Neutral,No,No,No,No,No,Yes,Yes,No
Female,Rarely,Occasionally,Negative,Negative,Negative,Negative,Occasionally,No,Negative,Negative,Yes,Easier,No,No,Yes,Yes,No,No
Male,Occasionally,Occasionally,Negative,Negative,Negative,Negative,Occasionally,No,Negative,Negative,No,No,Yes,No,Yes,Yes,Yes,No
Female,Very often,Very often,Negative,Neutral,Neutral,Neutral,Very often,No,Negative,Neutral,Yes,Easier,Yes,No,Yes,Yes,Yes,Yes
Male,Occasionally,Occasionally,Neutral,Neutral,Neutral,Neutral,Occasionally,No,Neutral,Neutral,Yes,No,Yes,No,Yes,Yes,No,Yes
